Date,Time,Action,Description,Location,Agency,Service Type,Product,Amount,Balance
May-01-2025,10:43 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
Apr-30-2025,11:46 PM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-30-2025,11:36 PM,Usage,Pass Use On Entry,108 Street & Jasper Avenue Nearside,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-30-2025,11:15 PM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-30-2025,11:02 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-30-2025,10:10 PM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,$0.00,
Apr-30-2025,08:22 PM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-30-2025,07:32 PM,Usage,Pass Use On Exit,134 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-30-2025,07:22 PM,Usage,Pass Use On Entry,118 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-30-2025,07:22 PM,Sales,Pass Missing Tap Fare,118 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,$0.00,
Apr-30-2025,06:58 PM,Usage,Pass Use On Entry,Groat Road & Emily Murphy Park Road,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-30-2025,06:58 PM,Sales,Pass Missing Tap Fare,Groat Road & Emily Murphy Park Road,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,$0.00,
Apr-30-2025,05:39 PM,Usage,Pass Use On Entry,West Edmonton Mall Transit Centre Bay C,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-30-2025,04:03 PM,Usage,Pass Use On Exit,West Edmonton Mall Transit Centre Bay B,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-30-2025,03:16 PM,Usage,Pass Use On Entry,University Transit Centre Bay A,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-30-2025,12:29 PM,Usage,Pass Use On Exit,Groat Road & Mayfair Golf Country Club,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-30-2025,12:26 PM,Usage,Pass Use On Entry,116 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-30-2025,09:16 AM,Usage,Pass Use On Exit,Groat Road & Mayfair Golf Country Club,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-30-2025,09:13 AM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-29-2025,09:39 PM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-29-2025,09:34 PM,Usage,Pass Use On Entry,118 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-29-2025,06:51 PM,Usage,Pass Use On Exit,Groat Road & Mayfair Golf Country Club,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-29-2025,06:47 PM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-28-2025,07:17 PM,Usage,Pass Use On Exit,135 Street & 109 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-28-2025,07:10 PM,Usage,Pass Use On Entry,Groat Road & Emily Murphy Park Road,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-28-2025,03:24 PM,Usage,Pass Use On Exit,Groat Road & Mayfair Golf Country Club,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-28-2025,03:20 PM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-27-2025,06:52 PM,Usage,Pass Use On Exit,135 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-27-2025,06:48 PM,Usage,Pass Use On Entry,Groat Road & Emily Murphy Park Road,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-26-2025,07:24 PM,Usage,Pass Use On Exit,135 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-26-2025,07:14 PM,Usage,Pass Use On Entry,114 Street & 87 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-26-2025,03:48 PM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-26-2025,02:41 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-26-2025,02:41 PM,Sales,Pass Missing Tap Fare,University Station,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,$0.00,
Apr-26-2025,01:02 PM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-26-2025,01:02 PM,Sales,Pass Missing Tap Fare,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,$0.00,
Apr-26-2025,12:14 PM,Usage,Pass Use On Entry,112 Street & 84 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-26-2025,11:49 AM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,$0.00,
Apr-26-2025,10:00 AM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-25-2025,09:18 PM,Usage,Pass Use On Exit,138 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-25-2025,08:59 PM,Usage,Pass Use On Entry,West Edmonton Mall Transit Centre Bay C,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-25-2025,07:50 PM,Usage,Pass Use On Exit,West Edmonton Mall Transit Centre Bay C,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-25-2025,07:26 PM,Usage,Pass Use On Entry,118 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-25-2025,06:25 PM,Usage,Pass Use On Exit,118 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-25-2025,06:19 PM,Usage,Pass Use On Entry,108 Street & Jasper Avenue Nearside,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-25-2025,06:11 PM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-25-2025,06:02 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-25-2025,01:11 AM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-25-2025,01:01 AM,Usage,Pass Use On Entry,108 Street & Jasper Avenue Nearside,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-25-2025,12:59 AM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-25-2025,12:34 AM,Usage,Pass Use On Entry,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-25-2025,12:33 AM,Usage,Pass Use On Exit,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-25-2025,12:15 AM,Usage,Pass Use On Entry,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-24-2025,11:52 PM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-24-2025,11:09 PM,Usage,Pass Use On Entry,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-24-2025,11:02 PM,Usage,Pass Use On Exit,Central Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-24-2025,10:03 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-24-2025,01:06 PM,Usage,Pass Use On Exit,142 Street & 101A Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-24-2025,12:39 PM,Usage,Pass Use On Entry,100 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-24-2025,12:39 PM,Sales,Pass Missing Tap Fare,100 Street & Jasper Avenue,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,$0.00,
Apr-24-2025,12:22 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-24-2025,08:19 AM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-24-2025,08:07 AM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-23-2025,08:16 PM,Usage,Pass Use On Exit,135 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-23-2025,08:10 PM,Usage,Pass Use On Entry,Groat Road & Emily Murphy Park Road,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-22-2025,09:14 AM,Usage,Pass Use On Exit,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-22-2025,08:57 AM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-21-2025,12:08 PM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-21-2025,11:53 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-20-2025,10:19 PM,Usage,Pass Use On Exit,135 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-20-2025,10:12 PM,Usage,Pass Use On Entry,116 Street & 105 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-20-2025,12:35 PM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-20-2025,12:26 PM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-20-2025,12:15 AM,Usage,Pass Use On Exit,Rutherford Road E & 15 Avenue SW,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-20-2025,12:03 AM,Usage,Pass Use On Entry,Century Park Transit Centre Bay D,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-20-2025,12:01 AM,Usage,Pass Use On Exit,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-19-2025,11:27 PM,Usage,Pass Use On Entry,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-19-2025,10:37 PM,Usage,Pass Use On Exit,109 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-19-2025,10:26 PM,Usage,Pass Use On Entry,St Georges Crescent & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-18-2025,09:33 PM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-18-2025,09:14 PM,Usage,Pass Use On Entry,100 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-18-2025,09:08 PM,Usage,Pass Use On Exit,100 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-18-2025,08:41 PM,Usage,Pass Use On Entry,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-17-2025,08:01 AM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-17-2025,07:53 AM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-16-2025,01:37 PM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,$0.00,
Apr-16-2025,11:48 AM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-16-2025,12:14 AM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-16-2025,12:06 AM,Usage,Pass Use On Entry,112 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-15-2025,11:50 PM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-15-2025,11:37 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-15-2025,08:59 PM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-15-2025,08:41 PM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-15-2025,09:08 AM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-15-2025,09:00 AM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-15-2025,12:44 AM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-15-2025,12:36 AM,Usage,Pass Use On Entry,108 Street & Jasper Avenue Nearside,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-15-2025,12:14 AM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-14-2025,11:58 PM,Usage,Pass Use On Entry,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-14-2025,11:29 PM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,$0.00,
Apr-14-2025,09:41 PM,Usage,Pass Use On Entry,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-14-2025,09:23 PM,Usage,Pass Use On Exit,109 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-14-2025,09:14 PM,Usage,Pass Use On Entry,137 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-14-2025,07:25 PM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-14-2025,07:14 PM,Usage,Pass Use On Entry,108 Street & Jasper Avenue Nearside,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-14-2025,07:12 PM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-14-2025,07:01 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-14-2025,07:53 AM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-14-2025,07:43 AM,Usage,Pass Use On Entry,134 Street & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-13-2025,11:33 PM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-13-2025,11:23 PM,Usage,Pass Use On Entry,108 Street & Jasper Avenue Nearside,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-13-2025,10:59 PM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-13-2025,10:34 PM,Usage,Pass Use On Entry,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-13-2025,10:21 PM,Usage,Pass Use On Exit,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-13-2025,09:41 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-12-2025,03:21 PM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-12-2025,03:08 PM,Usage,Pass Use On Entry,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-12-2025,03:05 PM,Usage,Pass Use On Exit,109 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-12-2025,02:50 PM,Usage,Pass Use On Entry,St Georges Crescent & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-11-2025,09:58 PM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-11-2025,09:53 PM,Usage,Pass Use On Entry,118 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-11-2025,06:14 PM,Usage,Pass Use On Exit,117 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-11-2025,06:06 PM,Usage,Pass Use On Entry,138 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-10-2025,11:54 AM,Usage,Pass Use On Exit,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-10-2025,11:31 AM,Usage,Pass Use On Entry,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-10-2025,11:31 AM,Sales,Pass Missing Tap Fare,Corona Station,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,$0.00,
Apr-10-2025,11:17 AM,Usage,Pass Use On Entry,137 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-09-2025,08:35 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-09-2025,08:21 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-08-2025,10:11 PM,Usage,Pass Use On Exit,Stadium TC on 111 Avenue Bay F,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-08-2025,09:48 PM,Usage,Pass Use On Entry,137 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-08-2025,05:30 PM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-08-2025,04:57 PM,Usage,Pass Use On Entry,Stadium TC on 111 Avenue Bay F,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-08-2025,02:29 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-08-2025,02:06 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-08-2025,12:21 PM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-08-2025,12:06 PM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-07-2025,05:17 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-07-2025,05:05 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-07-2025,03:22 PM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,$0.00,
Apr-07-2025,01:34 PM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-07-2025,12:21 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-07-2025,11:55 AM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-07-2025,08:48 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-07-2025,08:33 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-06-2025,08:22 AM,Usage,Pass Use On Exit,109 Street & 105 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-06-2025,08:09 AM,Usage,Pass Use On Entry,85 Street & 118 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-05-2025,10:36 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-05-2025,10:22 PM,Usage,Pass Use On Entry,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-05-2025,10:17 PM,Usage,Pass Use On Exit,109 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-05-2025,10:07 PM,Usage,Pass Use On Entry,St Georges Crescent & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-05-2025,03:49 PM,Usage,Pass Use On Exit,136 Street & 102 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-05-2025,03:18 PM,Usage,Pass Use On Entry,Stadium TC on 111 Avenue Bay F,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-04-2025,10:43 PM,Usage,Pass Use On Exit,Stadium TC on 111 Avenue Bay F,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-04-2025,10:20 PM,Usage,Pass Use On Entry,117 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-04-2025,08:06 PM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,$0.00,
Apr-04-2025,06:17 PM,Usage,Pass Use On Entry,108 Street & Jasper Avenue Nearside,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Apr-04-2025,06:15 PM,Usage,Pass Use On Exit,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-04-2025,06:08 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-04-2025,08:49 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-04-2025,08:33 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-04-2025,12:35 AM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-04-2025,12:04 AM,Usage,Pass Use On Entry,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-04-2025,12:04 AM,Sales,Pass Missing Tap Fare,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,$0.00,
Apr-03-2025,10:16 PM,Usage,Pass Use On Entry,Health Sciences Jubilee Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-03-2025,10:04 PM,Usage,Pass Use On Exit,Health Sciences Jubilee Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-03-2025,09:49 PM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-03-2025,09:14 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-03-2025,08:53 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-02-2025,09:08 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-02-2025,08:44 PM,Usage,Pass Use On Entry,Clareview Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-02-2025,07:47 PM,Usage,Pass Use On Exit,Clareview Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-02-2025,07:33 PM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-02-2025,12:05 AM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-01-2025,11:52 PM,Usage,Pass Use On Entry,Health Sciences Jubilee Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-01-2025,11:36 PM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-01-2025,11:20 PM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-01-2025,12:21 PM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-01-2025,12:04 PM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Apr-01-2025,12:06 AM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Mar-31-2025,11:36 PM,Usage,Pass Use On Entry,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Mar-31-2025,11:24 PM,Usage,Pass Use On Exit,Century Park Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Mar-31-2025,10:33 PM,Usage,Pass Use On Entry,Corona Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Mar-31-2025,08:01 PM,Usage,Pass Use On Exit,109 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Mar-31-2025,07:56 PM,Usage,Pass Use On Entry,119 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Winter,,
Mar-31-2025,03:40 PM,Sales,Pass Missing Tap Fare,,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,$0.00,
Mar-31-2025,01:51 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Mar-31-2025,01:34 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Mar-31-2025,12:02 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Mar-31-2025,08:50 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Mar-31-2025,08:34 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Mar-30-2025,04:52 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
Mar-30-2025,04:41 PM,Usage,Pass Use On Entry,MacEwan Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Winter,,
